@msgAnton,on-chain,tronscan,https://x.com/msgAnton/status/1717783849239974068?s=20,500
@hujkijs77289,non-on-chain,n/a,https://x.com/hujkijs77289/status/1717970498129133916?s=20,500
@PlebiusEconomus,non-on-chain,n/a,https://x.com/PlebiusEconomus/status/1717956593378365877?s=20,500
@Abbas_ra21,on-chain,n/a,https://x.com/Abbas_ra21/status/1718024601593139671?s=20,500
@yb_effect,non-on-chain,n/a,https://x.com/yb_effect/status/1718023759305519218?s=20,500
@abhiShandy,on-chain,tronscan,https://twitter.com/abhiShandy/status/1717696188823056689?s=20,500
@sem1d5,on-chain,"flipside_crypto, bitquery",https://x.com/sem1d5/status/1718523893844193405?s=20,500
@0xFantasy,on-chain,arkham_intel,https://x.com/0xFantasy/status/1718656407963128082?s=20,500
@web3_in_fiction,on-chain,block_chair,https://x.com/web3_in_fiction/status/1718705715236487376?s=20,500
@dougdevine,on-chain,tronscan,https://x.com/dougdevine/status/1718743876758888585?s=20,500
@ario_57_,on-chain,"flipside_crypto, tronscan, bitquery",https://x.com/ario_57_/status/1718630229638340973?s=20,500
@mpier2000,on-chain,arkham_intel,https://x.com/mpier2000/status/1718653964017950802?s=20,1500
@cloud_r3n,on-chain,n/a,https://x.com/cloud_r3n/status/1719041028710334832?s=20,500
@0xham3d_eth,on-chain,flipside_crypto,https://x.com/0xham3d_eth/status/1719099915370889476?s=20,500
@Mrfti_plus,on-chain,"flipside_crypto, arkham_intel",https://x.com/Mrfti_plus/status/1719110596313121142?s=20,500
@Mo_DeFi,on-chain,flipside_crypto,https://x.com/Mo_DeFi/status/1718953871903453554?s=20,500
@NFTherder,on-chain,n/a,https://x.com/NFTherder/status/1719150504054304812?s=20,500
@DayvidJosh,on-chain,flipside_crypto,https://x.com/DayvidJosh/status/1719210183648227765?s=20,500
@ario_57_,on-chain,"flipside_crypto, arkham_intel",https://x.com/ario_57_/status/1719288171471523905?s=20,500
@deeofweb3,on-chain,"flipside_crypto, arkham_intel",https://x.com/deeofweb3/status/1719669027377742210?s=20,500
@0xEddytailor,on-chain,flipside_crypto,https://twitter.com/0xEddytailor/status/1719629898145223106?s=20,500
@Masi_DN,on-chain,arkham_intel,https://x.com/Masi_DN/status/1719702588679930285?s=20,500
@Biseda_binam,on-chain,"flipside_crypto, arkham_intel, bitquery",https://x.com/Biseda_binam/status/1718975486020165944?s=20,500
@0xEddytailor,on-chain,flipside_crypto,https://twitter.com/0xEddytailor/status/1719629898145223106?s=20,500
@Biseda_binam,on-chain,"flipside_crypto, arkham_intel, bitquery",https://x.com/Biseda_binam/status/1718975486020165944?s=20,500
@NFTherder,on-chain,n/a,https://x.com/NFTherder/status/1719402218741203392?s=20,500
@Sbhn_np,on-chain,flipside_crypto,https://x.com/Sbhn_np/status/1719015770246561900?s=20,500
@LamokaAnalytics,on-chain,"flipside_crypto, bitquery",https://x.com/LamokaAnalytics/status/1719827721369293280?s=20,1000
@0xhess,on-chain,"flipside_crypto, bitquery",https://x.com/0xhess/status/1720077781235798518?s=20,500